dv;1;2;3;4;5;6;7
115;;79,15655939458570;70,69813549312410;66,02881458701310;59,68799556455610;56,32342427501180;56,34739406904330
116;;79,61570784107590;71,26061146390460;66,60809073247070;60,25360598428590;56,71639866765780;56,79289922237050
117;;80,07485628756620;71,82308743468510;67,18351617233230;60,63903019845280;57,21037398959370;57,20056205761950
118;;80,63585342540080;72,38556340546560;67,72110486018570;61,25334890515050;57,70523578973540;57,69260183717200
119;;81,22793916324090;72,94702506535330;68,25770428381680;61,72076262186060;58,20009758987720;58,26802727703370
120;;81,82002490108100;73,49914683657090;68,79434978860040;62,17405714225600;58,71853818096170;58,74791541092760
121;;82,35165802419100;74,05126860778840;69,34647155981820;62,78837584895370;59,23627684548550;59,14088980357360
122;;82,74463241683710;74,66983176006460;69,89859333103600;63,26818194924670;59,54132271704530;59,51313744960520
123;;83,14590049950980;75,32868248661690;70,36675979700790;63,72733039573680;59,96582168441920;59,94465605866410
124;;83,55356333475890;75,80903350275630;70,75973418965390;64,18647884222690;60,49134028830450;60,43110959429130
125;;83,97819345672640;76,26818194924650;71,13187883683530;64,70677461723650;60,90976701959470;60,91756312991850
126;;84,43734190321660;76,72733039573680;71,59970034210600;65,32109332393420;61,30977157995490;61,40401666554570
127;;84,89649034970690;77,27174831258560;72,10733089542310;65,79407377893580;61,80463338009670;61,89842564502730
128;;85,34601554744450;77,76070208733630;72,51499373067210;66,29250477015020;62,29949518023850;62,40917833319920
129;;85,77789215412840;78,24409374680400;72,92640979734770;66,79896797698420;62,79435698038020;62,90587975553070
130;;86,20976876081220;78,83011976442860;73,38555824383780;67,10401384854380;63,18056969581540;63,27243924106110
131;;86,64164536749600;79,41614578205320;73,83958494429890;67,57986639376650;63,57760254378670;63,71812441184720
132;;87,06033808795780;79,88813496174610;74,24082039897500;68,08981601138690;63,99461759395390;64,16184167422170
133;;87,39332369196350;80,23160698470180;74,64205585365110;68,54896445787730;64,41163264412120;64,57885672438880
134;;87,72630929596930;80,66256188856800;75,04329130832720;69,09785532365580;64,80766590337680;64,99587177455590
135;;88,08894009082520;81,18808049245330;75,45705339720320;69,47022179961410;65,20064029602290;65,34178143264160
136;;88,49660292607420;81,66403925649630;75,96780608537530;69,82341284420780;65,59361468866900;65,64682730420140
137;;88,90426576132320;82,12318770298660;76,47855877354750;70,33416553238000;65,99238836668740;65,95187317576100
138;;89,31192859657230;82,53189439976560;76,94367101714060;70,84518331972210;66,40005120193640;66,25691904732060
139;;89,71959143182130;82,92890876861780;77,40281946363070;71,42060875958350;66,79132271704520;66,64121810298290
140;;90,17497136236490;83,49536839594700;77,86196791012110;71,99085908488300;67,09636858860480;67,03419249562890
141;;90,62710841686090;84,06182802327620;78,32111635661140;72,35741857041370;67,40141446016450;67,42716688827490
142;;91,07026589405250;84,62828765060540;78,78026480310150;72,74463241683710;67,70646033172410;67,91385698829110
143;;91,51342337124410;85,04599857734560;79,23941324959160;73,14444203952300;68,15155974770340;68,52817569498880
144;;91,95658084843570;85,42796296562820;79,69856169608180;73,69656381074040;68,78535036142190;68,77965089518900
145;;92,39973832562730;85,80992735391090;80,15771014257220;74,22726389712890;69,41914097514030;69,00804242352330
146;;92,84289580281890;86,22078816251600;80,64675681777440;74,74143326954090;70,05293158885880;69,23643395185760
147;;93,28605328001050;86,63780321268320;81,17227542165970;75,10799275507140;70,66701583265570;69,46482548019180
148;;93,70721486567930;87,05874581575970;81,58387699944440;75,47455224060190;71,25910157049570;69,91260082151350
149;;94,05956385896780;87,51789426225010;81,95043648497510;75,94979259302850;71,85118730833580;70,37174926800390
150;;94,41191285225640;87,94590049950990;82,35984794358210;76,49265737753750;72,44163612346920;70,89502813815640
151;;94,76606163251980;88,35356333475900;82,91196971479950;77,01817598142280;72,86987899375440;71,36930436842140
152;;95,30266105615090;88,80480752571000;83,37174926800370;77,50293453842950;73,29812186403960;71,67435023998100
153;;95,83926047978200;89,33032612959550;83,83089771449400;77,94621332267500;73,72636473432480;71,97939611154060
154;;96,36701079043960;89,75475435360160;84,25612289615420;78,27919892668080;74,17369787336410;72,37168428814370
155;;96,67205666199930;90,12131383913210;84,64909728880020;78,61218453068660;74,66855967350580;72,75796978768520
156;;96,97710253355900;90,48787332466260;85,09326825534540;79,03051215022400;75,16342147364760;73,12452927321570
157;;97,28358031620720;90,85443281019310;85,55241670183570;79,56852717364230;75,65399429580910;73,49108875874620
158;;97,61656592021300;91,28025989868240;86,01156514832600;80,02767562013260;76,08223716609430;73,81043586689230
159;;97,94955152421890;91,71213650536620;86,43713431636200;80,48682406662280;76,51048003637950;74,11548173845190
160;;98,30142821460460;92,14401311205000;86,85414936652920;80,94597251311300;76,93872290666480;74,42052761001150
161;;98,69440260725060;92,57588971873380;87,27393568917730;81,32658546389830;77,39729958592230;74,72557348157130
162;;98,99258735769610;92,93974555718350;87,73308413566770;81,67005748685360;77,91451116593090;75,01803608110990
163;;99,22097888603030;93,27273116118930;88,16250330921610;82,06422461736520;78,43172274593950;75,27924721040610
164;;99,44937041436470;93,60571676519510;88,57016614446510;82,48123966753250;78,94893432594810;75,56425849686190
165;;99,67776194269920;94,01865605549240;88,97280050613440;82,89825471769980;79,39440265029940;75,86551237200640
166;;99,84858032437840;94,43567110565970;89,36577489878040;83,29223583115080;79,72139822479530;76,09390390034070
167;;99,97880225649320;94,83417493335720;89,75874929142660;83,69971244406800;80,04839379929130;76,32409172759100
168;;100,00000000000000;95,16716053736300;90,15172368407290;84,15886089055830;80,37538937378720;76,58530285688720
169;;;95,50014614136880;90,54469807671890;84,61800933704860;80,68276002591380;76,82840076984250
170;;;95,81961017881890;90,92664381796270;84,92214709322910;80,98780589747340;77,03129932056710
171;;;96,12465605037860;91,23168968952230;85,17141823025530;81,29285176903310;77,23800334788560
172;;;96,44469463839720;91,53673556108190;85,42068936728160;81,60776308120840;77,49921447718180
173;;;96,81125412392770;91,91961600186650;85,94540680131100;81,97432256673890;77,74988558322560
174;;;97,17781360945810;92,31259039451260;86,39270183966540;82,34088205226940;77,97827711155990
175;;;97,54437309498860;92,70556478715870;86,62109336799970;82,70744153779980;78,20666863989420
176;;;97,91886857543090;92,99153071602320;86,89368034855090;83,06786481269440;78,43506016822840
177;;;98,30083296371360;93,12175264813810;87,28665474119700;83,42021380598300;78,67433722677250
178;;;98,68279735199630;93,46841209884370;87,63306583631140;83,77256279927170;78,93554835606890
179;;;99,10592648319370;93,87175264813810;87,94128376286460;84,11548173845200;79,16249687968230
180;;;99,56507492968380;94,00197458025300;88,33425815551070;84,42052761001160;79,36539543040690
181;;;100,00000000000000;94,22185088714070;88,64916779174130;84,72557348157120;79,56829398113150
182;;;;94,56532291009620;88,77938972385610;85,02295100693920;79,77119253185610
183;;;;94,80989155406660;89,14075200262250;85,29189142214550;79,97409108258070
184;;;;94,92379392346430;89,56202679957420;85,56083183735170;80,17698963330550
185;;;;95,15796137284500;89,69224873168900;85,82977225255800;80,37988818403020
186;;;;95,55093576549120;89,93619871804320;86,09871266776420;80,58278673475480
187;;;;95,74202184522970;90,26918432204900;86,40294351215220;80,78568528547950
188;;;;95,84323950124180;90,60216992605490;86,70798938371190;80,96614014296210
189;;;;95,98934661271040;90,84891248648840;87,01303525527160;81,13201002448360
190;;;;96,19224516343510;91,07730401482260;87,30928155425670;81,29787990600520
191;;;;96,38788198457500;91,36930436842140;87,57822196946300;81,40818115522460
192;;;;96,55375186609650;91,63999497274100;87,84716238466920;81,50939881123670
193;;;;96,71962174761800;91,84289352346560;88,11610279987550;81,61061646724890
194;;;;96,89297809418800;92,05109663757450;88,38535941429300;81,71183412326100
195;;;;97,07550325429780;92,31230776687080;88,69040528585260;81,80514934296950
196;;;;97,25802841440760;92,55329270983730;88,99545115741210;81,88432386425140
197;;;;97,44055357451740;92,75619126056190;89,29690635046400;81,96349838553330
198;;;;97,62307873462710;92,96500825786900;89,43717704830190;82,04267290681520
199;;;;97,88980258511270;93,22621938716550;89,57744774613990;82,12184742809720
200;;;;98,17767653758550;93,39407744874730;89,71771844397780;82,20102194937910
