STATE_CODE;SHRP_ID;DATE;CONSTRUCTION_NO;GATOR_CRACK_A_L;GATOR_CRACK_A_M;GATOR_CRACK_A_H;BLK_CRACK_A_L;BLK_CRACK_A_M;BLK_CRACK_A_H;EDGE_CRACK_L_L;EDGE_CRACK_L_M;EDGE_CRACK_L_H;LONG_CRACK_WP_L_L;LONG_CRACK_WP_L_M;LONG_CRACK_WP_L_H;LONG_CRACK_WP_SEAL_L_L;LONG_CRACK_WP_SEAL_L_M;LONG_CRACK_WP_SEAL_L_H;LONG_CRACK_NWP_L_L;LONG_CRACK_NWP_L_M;LONG_CRACK_NWP_L_H;LONG_CRACK_NWP_SEAL_L_L;LONG_CRACK_NWP_SEAL_L_M;LONG_CRACK_NWP_SEAL_L_H;TRANS_CRACK_NO_L;TRANS_CRACK_NO_M;TRANS_CRACK_NO_H;TRANS_CRACK_L_L;TRANS_CRACK_L_M;TRANS_CRACK_L_H;TRANS_CRACK_SEAL_L_L;TRANS_CRACK_SEAL_L_M;TRANS_CRACK_SEAL_L_H;PATCH_NO_L;PATCH_NO_M;PATCH_NO_H;PATCH_A_L;PATCH_A_M;PATCH_A_H;POTHOLES_NO_L;POTHOLES_NO_M;POTHOLES_NO_H;POTHOLES_A_L;POTHOLES_A_M;POTHOLES_A_H;SHOVING_NO;SHOVING_A;BLEEDING;POLISH_AGG_A;RAVELING;PUMPING_NO;PUMPING_L;SURVEY_WIDTH;PCI_old;PCI
2;1001;15/06/1995 0:00;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;1;0,0;64,0;13,1;0,0;0,0;0,0;0,0;2;0;0;75,3;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;90,30017339;90,3001733891406
2;1001;15/06/1995 0:00;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;1;0,0;64,0;13,1;0,0;0,0;0,0;0,0;2;0;0;75,3;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;90,30017339;90,3001733891406
2;1001;22/08/1997 0:00;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;2;0,0;50,5;26,9;0,0;50,5;26,9;0,0;1;1;0;19,4;109,8;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;83,75220453;83,12187179214929
2;1001;14/07/2001 0:00;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,8;0,0;0,0;0,0;0,0;0,0;4;1;5,0;9,2;13,1;60,0;1,6;0,0;0,0;0;0;1;0,0;0,0;106,5;0;0;0;0,0;0,0;0,0;0;0,0;76,4;0,0;949,0;0;0,0;12,1;58,13134542;57,057049064398385
2;1002;30/05/1990 0:00;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;2,3;0,0;0,0;519,6;0,0;0,0;519,6;0,0;0,0;6;1;0,0;53,5;12,1;0,0;53,5;12,1;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;74,80749981;74,86833408475523
2;1002;30/05/1990 0:00;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;2,3;0,0;0,0;519,6;0,0;0,0;519,6;0,0;0,0;6;1;0,0;53,5;12,1;0,0;53,5;12,1;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;74,80749981;74,86833408475523
2;1002;30/05/1990 0:00;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;2,3;0,0;0,0;519,6;0,0;0,0;519,6;0,0;0,0;6;1;0,0;53,5;12,1;0,0;53,5;12,1;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;74,80749981;74,86833408475523
2;1002;22/08/1991 0:00;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,2;0,0;0,0;6,2;0,0;0,0;773,8;15,1;0,0;773,8;15,1;0,0;7;0;0,0;83,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;71,91783765;70,94486752674895
2;1002;22/08/1991 0:00;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,2;0,0;0,0;6,2;0,0;0,0;773,8;15,1;0,0;773,8;15,1;0,0;7;0;0,0;83,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;71,91783765;70,94486752674895
2;1002;14/06/1995 0:00;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;999,7;0,0;0,0;0,0;0,0;0,0;8;2;6,0;26,6;12,1;49,9;10,5;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;69,67807004;70,91729984423488
2;1002;25/08/1998 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;100,0;100,0
2;1002;25/08/1998 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;100,0;100,0
2;1002;25/08/1998 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;100,0;100,0
2;1002;25/08/1998 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;100,0;100,0
2;1002;23/06/1999 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;5;1,0;12,1;46,2;12,1;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;89,50173369;90,27145381307012
2;1002;23/06/1999 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;5;1,0;12,1;46,2;12,1;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;89,50173369;90,27145381307012
2;1002;23/06/1999 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;5;1,0;12,1;46,2;12,1;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;89,50173369;90,27145381307012
2;1002;14/07/2001 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;160,7;0,0;0,0;0,0;0,0;1;0;7,0;2,6;0,0;75,4;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;1670,0;0;0,0;12,1;58,16339077;58,92438938931846
2;1002;14/07/2001 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;160,7;0,0;0,0;0,0;0,0;1;0;7,0;2,6;0,0;75,4;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;1670,0;0;0,0;12,1;58,16339077;58,92438938931846
2;1002;13/06/2003 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;224,4;0,0;0,0;0,0;0,0;2;0;7,0;4,6;0,0;76,1;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;1692,5;0;0,0;12,1;56,09044471;56,86074211099528
2;9035;26/08/1991 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,7;12,8;0,0;0,0;0,0;0,0;3;4;0,0;35,8;50,2;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;88,32020565;89,16100413584664
2;9035;26/08/1991 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,7;12,8;0,0;0,0;0,0;0,0;3;4;0,0;35,8;50,2;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;88,32020565;89,16100413584664
2;9035;31/08/1993 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,3;0,0;0,0;0,0;0,0;0,0;1;7;1,0;1,6;91,5;12,8;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;12,1;85,56429411;85,67515983748196
2;9035;16/07/2001 0:00;4;148,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,5;0,0;0,0;28,5;0,0;0,0;79,7;0,0;0,0;79,7;0,0;0,0;15;1;0,0;96,1;12,5;0,0;96,1;12,5;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;1639,8;0;0,0;12,1;61,32415232;60,900919219708435
4;603;25/09/1991 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;169,9;0,0;0,0;0,0;0,0;0,0;14;6;0,0;100,0;58,1;0,0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;312,0;0,0;0,0;0;0,0;11,8;84,90484329;85,29602101717319
4;603;06/12/1999 0:00;4;15,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,8;0,0;0,0;0,0;0,0;2,3;463,5;56,7;0,0;0,0;0,0;7;22;15,0;27,2;238,5;182,7;0,0;0,0;0,0;1;2;1;2,2;8,6;5,4;0;0;2;0,0;0,0;4,3;0;0,0;0,0;0,0;0,0;1;3,3;11,8;30,88217313;30,408118762426966
4;603;10/10/2001 0:00;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;120,4;79,0;288,6;0,0;0,0;0,0;1;1;11,0;4,9;1,6;113,5;0,0;0,0;0,0;2;0;0;4403,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;11,8;37,15916301;37,190375652249564
4;604;24/09/1991 0:00;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34;0;0,0;408,0;0,0;0,0;408,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;11,8;80,45471532;80,6187396053198
4;604;28/10/1997 0:00;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;429,7;33,8;17,1;429,7;0,0;0,0;33;2;0,0;400,5;3,0;0,0;400,5;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;11,8;68,66864033;68,60808928000863
4;604;28/10/1997 0:00;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;429,7;33,8;17,1;429,7;0,0;0,0;33;2;0,0;400,5;3,0;0,0;400,5;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;11,8;68,66864033;68,60808928000863
4;604;28/10/1997 0:00;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;429,7;33,8;17,1;429,7;0,0;0,0;33;2;0,0;400,5;3,0;0,0;400,5;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;11,8;68,66864033;68,60808928000863
4;604;06/12/1999 0:00;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6;0,0;0,0;0,0;0,0;0,0;135,8;540,2;111,2;0,0;0,0;0,0;9;27;0,0;91,8;327,0;0,0;87,2;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0;0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0;0,0;11,8;53,99954402;53,03530434140554
