STATE_CODE;SHRP_ID;DATE;CONSTRUCTION_NO;GATOR_CRACK_A_L;GATOR_CRACK_A_M;GATOR_CRACK_A_H;BLK_CRACK_A_L;BLK_CRACK_A_M;BLK_CRACK_A_H;EDGE_CRACK_L_L;EDGE_CRACK_L_M;EDGE_CRACK_L_H;LONG_CRACK_WP_L_L;LONG_CRACK_WP_L_M;LONG_CRACK_WP_L_H;LONG_CRACK_WP_SEAL_L_L;LONG_CRACK_WP_SEAL_L_M;LONG_CRACK_WP_SEAL_L_H;LONG_CRACK_NWP_L_L;LONG_CRACK_NWP_L_M;LONG_CRACK_NWP_L_H;LONG_CRACK_NWP_SEAL_L_L;LONG_CRACK_NWP_SEAL_L_M;LONG_CRACK_NWP_SEAL_L_H;TRANS_CRACK_NO_L;TRANS_CRACK_NO_M;TRANS_CRACK_NO_H;TRANS_CRACK_L_L;TRANS_CRACK_L_M;TRANS_CRACK_L_H;TRANS_CRACK_SEAL_L_L;TRANS_CRACK_SEAL_L_M;TRANS_CRACK_SEAL_L_H;PATCH_NO_L;PATCH_NO_M;PATCH_NO_H;PATCH_A_L;PATCH_A_M;PATCH_A_H;POTHOLES_NO_L;POTHOLES_NO_M;POTHOLES_NO_H;POTHOLES_A_L;POTHOLES_A_M;POTHOLES_A_H;SHOVING_NO;SHOVING_A;BLEEDING;POLISH_AGG_A;RAVELING;PUMPING_NO;PUMPING_L;SURVEY_WIDTH;PCI_old;PCI
2;1002;23/06/1999 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;3,68790003;14,08107284;3,68790003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,68790003;89,50173369;90,27145381
2;1002;14/07/2001 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48,97896983;0;0;0;0;1;0;7;0,792441329;0;22,98079854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155,1467856;0;0;3,68790003;58,16339077;58,92438939
2;1002;14/07/2001 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48,97896983;0;0;0;0;1;0;7;0,792441329;0;22,98079854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155,1467856;0;0;3,68790003;58,16339077;58,92438939
2;1002;13/06/2003 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68,39378238;0;0;0;0;2;0;7;1,402011582;0;23,19414813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157,2370866;0;0;3,68790003;56,09044471;56,86074211
2;9035;26/08/1991 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,699481865;3,901249619;0;0;0;0;3;4;0;10,91130753;15,30021335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,68790003;88,32020565;89,16100414
2;9035;26/08/1991 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,699481865;3,901249619;0;0;0;0;3;4;0;10,91130753;15,30021335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,68790003;88,32020565;89,16100414
2;9035;31/08/1993 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,101493447;0;0;0;0;0;1;7;1;0,487656202;27,88783907;3,901249619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,68790003;85,56429411;85,67515984
2;9035;16/07/2001 0:00;4;13,79598662;0;0;0;0;0;0;0;0;8,686376105;0;0;8,686376105;0;0;24,29137458;0;0;24,29137458;0;0;15;1;0;29,28985066;3,809814081;0;29,28985066;3,809814081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152,3411371;0;0;3,68790003;61,32415232;60,90091922
4;603;25/09/1991 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51,78299299;0;0;0;0;0;14;6;0;30,47851265;17,70801585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,98550725;0;0;0;0;3,596464493;84,90484329;85,29602102
4;603;06/12/1999 0:00;4;1,402824229;0;0;0;0;0;0;0;0;0;3,596464493;0;0;0;0;0,701005791;141,2679061;17,28131667;0;0;0;7;22;15;8,29015544;72,69125267;55,68424261;0;0;0;1;2;1;0,204384987;0,798959495;0,501672241;0;0;2;0;0;0,399479747;0;0;0;0;0;1;1,005790917;3,596464493;30,88217313;30,40811876
4;603;10/10/2001 0:00;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,69612923;24,07802499;87,9609875;0;0;0;1;1;11;1,49344712;0,487656202;34,59311186;0;0;0;2;0;0;409,0486808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;37,15916301;37,19037565
4;604;24/09/1991 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;124,3523316;0;0;124,3523316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;80,45471532;80,61873961
4;604;28/10/1997 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130,9661689;10,30173728;5,211825663;130,9661689;0;0;33;2;0;122,0664432;0,914355379;0;122,0664432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;68,66864033;68,60808928
4;604;28/10/1997 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130,9661689;10,30173728;5,211825663;130,9661689;0;0;33;2;0;122,0664432;0,914355379;0;122,0664432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;68,66864033;68,60808928
4;604;28/10/1997 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130,9661689;10,30173728;5,211825663;130,9661689;0;0;33;2;0;122,0664432;0,914355379;0;122,0664432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;68,66864033;68,60808928
4;604;06/12/1999 0:00;3;0;0;0;0;0;0;0;0;0;0,792441329;0;0;0;0;0;41,38982018;164,6449253;33,89210607;0;0;0;9;27;0;27,97927461;99,66473636;0;26,57726303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;53,99954402;53,03530434
4;604;06/12/1999 0:00;3;0;0;0;0;0;0;0;0;0;0,792441329;0;0;0;0;0;41,38982018;164,6449253;33,89210607;0;0;0;9;27;0;27,97927461;99,66473636;0;26,57726303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;53,99954402;53,03530434
4;604;23/08/2000 0:00;3;1,700111483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,010057909;33,67875648;233,831149;0;0;0;7;25;4;23,80371838;89,57634867;15,20877781;3,809814081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;27,07836233;25,52936323
4;606;24/09/1991 0:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35,69033831;0;0;0;0;0;8;5;0;22,889363;18,28710759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;88,17138004;88,4915429
4;606;27/10/1997 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152,4535203;28,58884486;3,992685157;152,4535203;0;0;23;5;1;70,07010058;18,50045718;3,68790003;50,77720207;14,78207863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;65,37492367;65,36828923
4;606;27/10/1997 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152,4535203;28,58884486;3,992685157;152,4535203;0;0;23;5;1;70,07010058;18,50045718;3,68790003;50,77720207;14,78207863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;65,37492367;65,36828923
4;606;27/10/1997 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152,4535203;28,58884486;3,992685157;152,4535203;0;0;23;5;1;70,07010058;18,50045718;3,68790003;50,77720207;14,78207863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;65,37492367;65,36828923
4;606;27/10/1997 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152,4535203;28,58884486;3,992685157;152,4535203;0;0;23;5;1;70,07010058;18,50045718;3,68790003;50,77720207;14,78207863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;65,37492367;65,36828923
4;606;03/12/1999 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,005790917;110,2712588;102,8649802;0;0;0;6;16;9;13,80676623;51,29533679;32,79487961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;40,77994498;40,11042799
4;606;03/12/1999 0:00;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,005790917;110,2712588;102,8649802;0;0;0;6;16;9;13,80676623;51,29533679;32,79487961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,596464493;40,77994498;40,11042799
