DISTRESS;ALLIGATOR CRACKING LOW;ALLIGATOR CRACKING MEDIUM;ALLIGATOR CRACKING HIGH;BLEEDING LOW;BLEEDING MEDIUM;BLEEDING HIGH;BLOCK CRACKING LOW;BLOCK CRACKING MEDIUM;BLOCK CRACKING HIGH;BUMPS AND SAGS LOW;BUMPS AND SAGS MEDIUM;BUMPS AND SAGS HIGH;CORRUGATION LOW;CORRUGATION MEDIUM;CORRUGATION HIGH;DEPRESSION LOW;DEPRESSION MEDIUM;DEPRESSION HIGH;EDGE CRACKING LOW;EDGE CRACKING MEDIUM;EDGE CRACKING HIGH;JOINT REFLECTION CRACKING LOW;JOINT REFLECTION CRACKING MEDIUM;JOINT REFLECTION CRACKING HIGH;LANE-SHOULDER DROP OFF LOW;LANE-SHOULDER DROP OFF MEDIUM;LANE-SHOULDER DROP OFF HIGH;LONG-TRANS CRACKING LOW;LONG-TRANS CRACKING MEDIUM;LONG-TRANS CRACKING HIGH;PATCHING LOW;PATCHING MEDIUM;PATCHING HIGH;POLISHED AGGREGATE ALL;POTHOLES LOW;POTHOLES MEDIUM;POTHOLES HIGH;RAILROAD CROSSING LOW;RAILROAD CROSSING MEDIUM;RAILROAD CROSSING HIGH;RUTTING LOW;RUTTING MEDIUM;RUTTING HIGH;SHOVING LOW;SHOVING MEDIUM;SHOVING HIGH;SLIPPAGE CRACKING LOW;SLIPPAGE CRACKING MEDIUM;SLIPPAGE CRACKING HIGH;SWELL LOW;SWELL MEDIUM;SWELL HIGH;WEATHERING AND RAVELING LOW;WEATHERING AND RAVELING MEDIUM;WEATHERING AND RAVELING HIGH
0,1;4,15737144547994;6,58482185998498;12,6829815114746;0,0;0,2424072289707;2,19228697374114;0,000386242057864619;0,244877464707015;0,734032736186594;1,46769853985915;6,84611082559921;20,4261748763674;1,20942383373967;5,067700680873;10,3846989464688;4,1056483378571;8,21243072828857;12,3188351011955;0,368394744001092;4,60100035366116;7,30824199116869;0,197795555278517;1,38255952892251;2,56914811448878;;;;0,193114451568152;0,192049077204744;4,08565977878165;0,0;2,40875779485524;6,01483314680227;0,0;2,19984859954587;6,06500200560342;20,0746681116395;;;;1,11329237367679;4,27499180700826;5,93904414034038;0,147736073554433;3,21460345081304;7,30375995382414;0,265635234221492;2,42330858125498;4,25052891948119;;;;0,100807485316451;4,23858369478793;6,225087923937730000
0,15;4,15737144547994;8,40185467263392;14,5354819930416;0,0;0,443940188383771;2,44940756683138;0,194942483093373;0,497114823349484;1,38898708621199;1,71604440183963;8,74834689835362;26,1387977787668;1,16473851448626;5,81905073119805;15,0496664348923;4,1237208248156;8,20201567572755;12,886950183366;1,13415847746536;4,57388298313423;8,35697599292338;0,211051994154594;1,83058105616437;4,35638792469509;;;;0,145516713240218;0,56252865524567;5,70054596200774;0,0;3,2882304229373;7,44680500451622;0,0;4,25918052828612;8,69129361070997;24,2584486134625;;;;1,32307690971526;5,82322066434255;9,65732864593219;0,166348149564967;3,23937765626727;8,68713823198498;0,798727074361825;3,49312358889289;6,11463539005289;;;;0,252783092827072;4,95557626712898;7,746074110034200000
0,2;4,36609281468388;10,2348536022293;16,2149084949685;0,0;0,644991946569481;2,58618335446152;0,268588258951224;0,346211011967458;1,98026133762347;1,98185875879753;10,4030943911683;30,2791176025603;1,12005319523284;6,40333702430298;18,2716382303268;4,19906377947167;8,19152266298457;13,2503198891766;1,60016140832439;4,72263873376772;9,10889426884686;0,224925490576141;2,32896308051519;5,90668377028041;;;;0,0966480042023881;0,958818109161549;6,9371291916188;0,0;3,52921148348948;8,48150032327841;0,0;5,83083219927671;10,7527922473876;27,5759112684237;;;;1,51776344737686;7,01337735977788;12,2411841093293;0,185405482381251;3,23249853340757;9,5606721256357;1,2640255844532;4,26292156261681;7,38953247693825;;;;0,325836995152275;5,41798255949983;8,749736242797030000
0,25;4,35948459451725;11,6506287856265;17,3849432611326;0,0;0,777686096327072;2,61931803898697;0,214494129255794;0,276186128931996;2,35683224049767;2,49841837229924;12,2615946000689;33,349112273246;1,07536787597943;6,99371270561527;20,6450481725186;4,27440673412773;8,18102965024159;13,8999389486943;1,7820358137652;5,00146609965286;10,1320633954171;0,238798986997688;2,95942196545103;7,10740954018442;;;;0,0654255295365097;1,83092037939;8,252349846855;0,0;4,07933337576338;9,4634450361256;0,0;7,44853887919142;12,9356440157989;30,6710966158257;;;;1,85243870239765;8,071353337235;14,1774540946922;0,204462815197534;3,14077139743832;10,0847640893762;1,41075020366027;4,9006180439222;8,46278403975838;;;;0,572401648902612;5,81012026338866;9,621373103757610000
0,3;4,66812461450561;12,8470745015167;18,6005811129992;0,0;0,892157223879668;2,76112314075162;0,0719530857631243;0,28222685438693;2,73041976014954;2,89914137464901;13,855782387167;35,9428545823941;1,03068255672602;7,61657467575404;22,6797454209353;4,31018794461114;8,1762201195485;14,1658834604173;2,02952054885941;5,39165301763954;10,2987909650868;0,252672483419235;3,4292719247053;8,18284283564203;;;;0,208519599070675;2,59842814527019;9,15067704059155;0,0;4,37087266537429;10,5246390554661;0,0;8,80001341914195;15,2812819041429;33,363477159242;;;;2,2282024421003;9,06964752906466;16,0226701851225;0,223520148013817;3,24000781733868;10,6089243373667;1,59998218088066;5,40725572446779;9,39673010719768;;;;0,81896630265295;6,15330287089149;10,231010498642900000
0,35;4,97676463449397;13,6778425343903;19,8052310805784;0,0;0,992951046067743;2,90292824251627;0,0430418500397193;0,288267579841864;3,15788551302161;3,37852585159461;15,0059014818697;37,9965722498613;0,985997237472613;8,4789984015284;24,154082527291;4,30567456645144;8,17234859259154;14,6912474619737;2,29744665359588;5,5682763019693;10,6754805571404;0,397009306269446;3,83295517530421;9,11441788278231;;;;0,187352239276787;3,07509655418733;10,2326587847076;0,0;4,98266355130648;11,9611930237055;0,0;10,0983705993993;17,2603932433399;35,7423632235507;;;;2,44303405642259;9,85968194802028;17,4174511544048;0,304936345668641;3,62925888022552;11,0711669836719;1,91587107113806;5,81462944813559;10,3407895498032;;;;1,05593362261348;6,40761742482255;10,863611453650400000
0,4;5,19129789898039;14,6605730903496;20,5032668233198;0,0;1,10521092387051;3,03769737053088;0,0467388962775788;0,293287831953336;3,51774352249923;3,64518260933475;16,2453040530472;40,1637651911647;0,941311918219203;8,87822449020366;25,4690783054219;4,30116118829174;8,16847706563459;14,8476512031278;2,40247817662234;5,8138853477669;10,9548047876273;0,614463473320854;4,2321061335864;9,83909664471516;;;;0,183504271530159;3,6799505717301;11,0501482094099;0,166394128111285;5,38345667677332;12,9509914080698;0,0;11,3662214220758;19,0619888906388;37,8241608793517;;;;3,11475572040954;10,5881423618152;18,6374977248987;0,391873776885386;3,96523862036038;11,4929268771362;2,09896655448786;6,2276095353452;11,0979900759441;;;;1,20363984032182;6,84747026788399;11,596651549933100000
0,45;5,45662601974849;15,6714915038629;21,8339492474106;0,0;1,2255115402659;3,16337679429405;0,0504359425154382;0,297328293919403;3,92997293513612;4,03465431109995;17,3242140522891;41,5590516183935;0,896626598965792;9,54184550840426;26,8759089592055;4,29664781013204;8,16460553867763;15,0991610795498;2,49810088906091;6,20100094078628;11,3922841207745;0,831917640372262;4,58916423670195;10,3992378557942;;;;0,228811425496373;4,28095315477976;11,8298171780158;0,346803206847766;5,90665035461539;13,8079276500644;0,0;12,4145272468865;20,5902280440789;39,6824227135166;;;;3,72278036735274;11,4336796007289;19,6035054583678;0,63326905363751;4,55172681175749;12,2867883215605;2,23215033994478;6,48348411014841;11,8043654699505;;;;1,35134605803017;7,01874324864122;12,188398407932900000
0,5;5,96938917620509;16,3785330670841;22,9966340715457;0,0;1,32692590012781;3,35663087385031;0,0541329887532977;0,30136875588547;4,32156751427057;4,54107403692513;18,084470666002;43,3023278204818;0,851941279712382;10,058259610391;27,9127599846668;4,29213443197234;8,16073401172068;15,4283985898484;2,59372360149949;6,379153973045;11,6078982988184;1,09191186880528;5,01852062468761;10,9992416567919;1,97040046717963;4,00479894478431;6,04535883999871;0,274118579462587;4,74562474396848;12,5585449226065;0,527212285584247;6,2369714254872;14,5679284093145;0,0;13,691858472886;22,5354846335461;41,4609161478905;;;;4,097020879628;12,1756874347115;20,3767487360479;0,938335881493117;5,04159670735421;12,8986976572708;2,45162544934226;6,89425830492817;12,5407449402772;;;;1,43935810195803;7,20375438062067;12,599314187865400000
0,55;6,48215233266169;16,9855180561913;23,9309163687742;0,0;1,42398025864602;3,57553297364942;0,0578300349911572;0,529633571252585;4,58125159317111;4,94594488906697;18,829230481306;44,4537853176428;0,807255960458971;10,5805632361007;28,5900558271539;4,28833656504532;8,15686248476372;15,6401236040757;2,70039705821485;6,60357617574617;11,8548626057375;1,32668983861856;5,36991799781679;11,7309816317665;1,95942968339399;3,95172298208265;6,08549245889858;0,490484696900754;5,20845367659745;13,3485573336613;0,674949652352795;6,65472668256708;15,0900721187191;0,0;14,7393468231482;23,857394299586;43,4891174326021;;;;4,64310963348372;12,8413273085954;21,2897970518725;1,24340270934872;5,67493042444406;13,6120932806771;2,80590382361112;7,14825544100652;13,0887897863884;;;;1,51767853810591;7,46247477766068;13,211282398027500000
